,0
0,1.4285714285714286
1,2.1875
2,2.2232142857142856
3,2.482142857142857
4,2.6160714285714284
5,2.625
6,2.7232142857142856
7,2.732142857142857
8,9.268292682926829
9,9.276422764227643
10,9.284552845528456
11,9.292682926829269
12,9.894308943089431
13,9.934959349593496
14,9.94308943089431
15,9.951219512195122
16,9.959349593495935
17,9.967479674796747
18,9.975609756097562
19,12.24390243902439
20,14.731707317073171
21,15.308943089430894
22,15.317073170731707
23,16.235772357723576
24,16.24390243902439
25,17.84552845528455
26,17.853658536585368
27,17.86178861788618
28,17.869918699186993
29,1.0303030303030303
30,1.6363636363636365
31,4.348484848484849
